date_time,temp,date,time,weekday,month,year,temp_deseasoned1,deseasoned_24hr_smooth,deseasoned_weekly_smooth
2016-08-29 06:00:00,71.21120000000009,2016-08-29,06:00:00,Monday,August,2016,-0.6444000000000045,-1.7290500000000215,0.4577999999999927
2016-08-29 07:00:00,71.19680000000002,2016-08-29,07:00:00,Monday,August,2016,-0.15120000000010236,-1.8241500000000272,0.4576071428571352
2016-08-29 08:00:00,71.01319999999996,2016-08-29,08:00:00,Monday,August,2016,-0.12240000000009843,-1.8954000000000324,0.45111428571427803
2016-08-29 09:00:00,73.05080000000007,2016-08-29,09:00:00,Monday,August,2016,-0.9864000000000033,-1.9419000000000366,0.42966428571427784
2016-08-29 10:00:00,75.91639999999995,2016-08-29,10:00:00,Monday,August,2016,-2.430000000000021,-2.0118000000000364,0.3911999999999913
2016-08-29 11:00:00,78.95480000000003,2016-08-29,11:00:00,Monday,August,2016,-2.3400000000000176,-2.013900000000038,0.3484928571428492
2016-08-29 12:00:00,81.22639999999993,2016-08-29,12:00:00,Monday,August,2016,-2.5920000000000982,-2.0010000000000407,0.30490714285713444
2016-08-29 13:00:00,83.12000000000006,2016-08-29,13:00:00,Monday,August,2016,-2.1563999999999623,-1.9314000000000362,0.27175714285713454
2016-08-29 14:00:00,84.02360000000007,2016-08-29,14:00:00,Monday,August,2016,-2.2679999999999865,-1.8250500000000365,0.2263714285714202
2016-08-29 15:00:00,85.26560000000008,2016-08-29,15:00:00,Monday,August,2016,-1.9871999999999588,-1.705350000000039,0.1787571428571344
2016-08-29 16:00:00,86.05760000000004,2016-08-29,16:00:00,Monday,August,2016,-2.116799999999998,-1.6269000000000347,0.12467142857142045
2016-08-29 17:00:00,86.47520000000011,2016-08-29,17:00:00,Monday,August,2016,-2.6567999999999046,-1.60980000000003,0.07394999999999192
2016-08-29 18:00:00,86.30240000000013,2016-08-29,18:00:00,Monday,August,2016,-1.7963999999998634,-1.569450000000024,0.029335714285707158
2016-08-29 19:00:00,84.75439999999998,2016-08-29,19:00:00,Monday,August,2016,-1.0296000000001158,-1.4910000000000334,-0.008678571428579116
2016-08-29 20:00:00,82.99040000000005,2016-08-29,20:00:00,Monday,August,2016,-0.7020000000000692,-1.4014500000000438,-0.044164285714293934
2016-08-29 21:00:00,80.52080000000005,2016-08-29,21:00:00,Monday,August,2016,-1.4507999999999441,-1.3918500000000396,-0.07787142857143682
2016-08-29 22:00:00,79.12400000000011,2016-08-29,22:00:00,Monday,August,2016,-0.8783999999999139,-1.3870500000000348,-0.10718571428572239
2016-08-29 23:00:00,77.1476000000001,2016-08-29,23:00:00,Monday,August,2016,-1.6307999999999936,-1.4572500000000357,-0.13802142857143646
2016-08-30 00:00:00,75.94519999999997,2016-08-30,00:00:00,Tuesday,August,2016,0.8711999999999591,-1.2928500000000351,-0.14965714285715026
2016-08-30 01:00:00,74.37560000000005,2016-08-30,01:00:00,Tuesday,August,2016,-1.1340000000000003,-1.2973500000000353,-0.17232857142857871
2016-08-30 02:00:00,73.3171999999999,2016-08-30,02:00:00,Tuesday,August,2016,-1.8864000000001226,-1.3491000000000402,-0.1942071428571505
2016-08-30 03:00:00,71.75120000000011,2016-08-30,03:00:00,Tuesday,August,2016,-2.0231999999999317,-1.4026500000000397,-0.21741428571429264
2016-08-30 04:00:00,70.8115999999999,2016-08-30,04:00:00,Tuesday,August,2016,-1.7640000000001663,-1.4371500000000488,-0.2436857142857225
2016-08-30 05:00:00,70.07360000000007,2016-08-30,05:00:00,Tuesday,August,2016,-1.9439999999999742,-1.4925000000000441,-0.26813571428572175
2016-08-30 06:00:00,69.54079999999999,2016-08-30,06:00:00,Tuesday,August,2016,-1.6704000000001002,-1.5352500000000482,-0.29723571428572176
2016-08-30 07:00:00,69.57320000000004,2016-08-30,07:00:00,Tuesday,August,2016,-1.623599999999982,-1.596600000000043,-0.32117142857143577
2016-08-30 08:00:00,69.53720000000007,2016-08-30,08:00:00,Tuesday,August,2016,-1.4759999999998854,-1.6530000000000342,-0.34305000000000685
2016-08-30 09:00:00,71.01320000000007,2016-08-30,09:00:00,Tuesday,August,2016,-2.0375999999999976,-1.696800000000034,-0.37285714285715005
2016-08-30 10:00:00,72.83120000000005,2016-08-30,10:00:00,Tuesday,August,2016,-3.085199999999901,-1.724100000000029,-0.41727857142857755
2016-08-30 11:00:00,76.1216,2016-08-30,11:00:00,Tuesday,August,2016,-2.8332000000000335,-1.7446500000000296,-0.4557000000000069
2016-08-30 12:00:00,79.69639999999998,2016-08-30,12:00:00,Tuesday,August,2016,-1.5299999999999443,-1.7004000000000232,-0.48711428571429155
2016-08-30 13:00:00,81.26960000000014,2016-08-30,13:00:00,Tuesday,August,2016,-1.8503999999999223,-1.6876500000000216,-0.5135571428571483
2016-08-30 14:00:00,82.28840000000008,2016-08-30,14:00:00,Tuesday,August,2016,-1.7351999999999919,-1.6654500000000219,-0.5327142857142911
2016-08-30 15:00:00,84.26840000000001,2016-08-30,15:00:00,Tuesday,August,2016,-0.9972000000000634,-1.624200000000026,-0.5431714285714341
2016-08-30 16:00:00,84.89120000000003,2016-08-30,16:00:00,Tuesday,August,2016,-1.16640000000001,-1.5846000000000267,-0.5495357142857196
2016-08-30 17:00:00,84.98480000000006,2016-08-30,17:00:00,Tuesday,August,2016,-1.4904000000000508,-1.5360000000000327,-0.5598857142857201
2016-08-30 18:00:00,83.83280000000009,2016-08-30,18:00:00,Tuesday,August,2016,-2.4696000000000424,-1.5640500000000401,-0.5718428571428634
2016-08-30 19:00:00,82.868,2016-08-30,19:00:00,Tuesday,August,2016,-1.8863999999999805,-1.5997500000000346,-0.5790428571428633
2016-08-30 20:00:00,80.75839999999994,2016-08-30,20:00:00,Tuesday,August,2016,-2.232000000000113,-1.6635000000000364,-0.5850000000000067
2016-08-30 21:00:00,78.51560000000008,2016-08-30,21:00:00,Tuesday,August,2016,-2.0051999999999737,-1.6866000000000376,-0.5919214285714348
2016-08-30 22:00:00,76.30879999999998,2016-08-30,22:00:00,Tuesday,August,2016,-2.8152000000001323,-1.7673000000000467,-0.6022071428571497
2016-08-30 23:00:00,74.8544,2016-08-30,23:00:00,Tuesday,August,2016,-2.2932000000000983,-1.794900000000051,-0.6133500000000075
2016-08-31 00:00:00,72.7772,2016-08-31,00:00:00,Wednesday,August,2016,-3.167999999999978,-1.9632000000000485,-0.6297857142857217
2016-08-31 01:00:00,71.99600000000005,2016-08-31,01:00:00,Wednesday,August,2016,-2.3795999999999964,-2.0151000000000483,-0.6424500000000076
2016-08-31 02:00:00,71.3624,2016-08-31,02:00:00,Wednesday,August,2016,-1.9547999999999064,-2.0179500000000394,-0.6562500000000071
2016-08-31 03:00:00,70.4876000000001,2016-08-31,03:00:00,Wednesday,August,2016,-1.263600000000011,-1.9863000000000426,-0.6652285714285794
2016-08-31 04:00:00,68.76319999999996,2016-08-31,04:00:00,Wednesday,August,2016,-2.048399999999944,-1.9981500000000334,-0.6771642857142934
2016-08-31 05:00:00,67.99280000000017,2016-08-31,05:00:00,Wednesday,August,2016,-2.080799999999897,-2.00385000000003,-0.6848571428571502
2016-08-31 06:00:00,67.4384000000001,2016-08-31,06:00:00,Wednesday,August,2016,-2.1023999999998892,-2.0218500000000215,-0.6902785714285782
2016-08-31 07:00:00,67.08559999999993,2016-08-31,07:00:00,Wednesday,August,2016,-2.487600000000114,-2.057850000000027,-0.6983357142857218
2016-08-31 08:00:00,67.45640000000007,2016-08-31,08:00:00,Wednesday,August,2016,-2.0807999999999964,-2.0830500000000316,-0.7025142857142931
2016-08-31 09:00:00,70.97000000000007,2016-08-31,09:00:00,Wednesday,August,2016,-0.043199999999998795,-1.9999500000000314,-0.6897000000000071
2016-08-31 10:00:00,74.93000000000005,2016-08-31,10:00:00,Wednesday,August,2016,2.098799999999997,-1.7839500000000357,-0.6612000000000074
2016-08-31 11:00:00,77.78480000000008,2016-08-31,11:00:00,Wednesday,August,2016,1.6632000000000744,-1.5966000000000313,-0.6390000000000067
2016-08-31 12:00:00,79.22119999999997,2016-08-31,12:00:00,Wednesday,August,2016,-0.47520000000001517,-1.5526500000000343,-0.6348000000000068
2016-08-31 13:00:00,81.36319999999995,2016-08-31,13:00:00,Wednesday,August,2016,0.09359999999981028,-1.4716500000000454,-0.6256928571428652
2016-08-31 14:00:00,82.4864,2016-08-31,14:00:00,Wednesday,August,2016,0.19799999999992224,-1.3911000000000489,-0.6156857142857233
2016-08-31 15:00:00,83.48000000000005,2016-08-31,15:00:00,Wednesday,August,2016,-0.7883999999999673,-1.382400000000045,-0.6106714285714366
2016-08-31 16:00:00,84.82999999999993,2016-08-31,16:00:00,Wednesday,August,2016,-0.06120000000009895,-1.3363500000000486,-0.6055714285714372
2016-08-31 17:00:00,84.98840000000007,2016-08-31,17:00:00,Wednesday,August,2016,0.0036000000000058208,-1.2741000000000462,-0.6021000000000073
2016-08-31 18:00:00,84.2216,2016-08-31,18:00:00,Wednesday,August,2016,0.3887999999999039,-1.1550000000000484,-0.5993357142857219
2016-08-31 19:00:00,83.23520000000009,2016-08-31,19:00:00,Wednesday,August,2016,0.36720000000009634,-1.0611000000000452,-0.596935714285722
2016-08-31 20:00:00,81.19039999999995,2016-08-31,20:00:00,Wednesday,August,2016,0.43200000000001637,-0.9501000000000399,-0.5905071428571503
2016-08-31 21:00:00,78.72080000000014,2016-08-31,21:00:00,Wednesday,August,2016,0.20520000000006178,-0.8580000000000384,-0.5846785714285785
2016-08-31 22:00:00,76.93520000000002,2016-08-31,22:00:00,Wednesday,August,2016,0.6264000000000465,-0.714600000000031,-0.5761928571428638
2016-08-31 23:00:00,74.75360000000002,2016-08-31,23:00:00,Wednesday,August,2016,-0.10079999999997824,-0.623250000000026,-0.5751214285714351
2016-09-01 00:00:00,72.74480000000005,2016-09-01,00:00:00,Thursday,September,2016,-0.0323999999999387,-0.49260000000002435,-0.5597014285714353
